VoIP Provider,Description,URL,Image logo URL,Amount of ratings,Amount of reviews,Most rated review,Score
NICE inContact CXone,"NICE inContact CXone is a cloud-based contact center platform that manages customer interactions across multiple communication channels. It includes features such as omnichannel routing, workforce optimization, automatic call distribution (ACD), and interactive voice response (IVR) system.",https://www.trustradius.com/products/nice-incontact-cxone/reviews,https://media.trustradius.com/product-logos/QA/Je/JB3V8JCKA3MP-180x180.JPEG,59 ratings,282 reviews,"NICE inContact CXone is being used by the company I work for to: Manage dials, calls, conferences, call transfers, phone books, scheduled call backs, scheduling, communication, call managing, call history recording, and more. It addresses calling and dialing management. All of these things are put together in a way that makes work flows easier, faster, and more seamless. ",8.3
Talkdesk,"Talkdesk is a cloud-based contact center platform with voice, digital channel, and workforce engagement management capabilities. Talkdesk’s key features are its customizable user interface, built-in AI automation, and its integration with numerous CRM and helpdesk applications.",https://www.trustradius.com/products/talkdesk/reviews,https://media.trustradius.com/product-logos/IA/dg/301W3SQJF6TT-180x180.JPEG,34 ratings,233 reviews,"At present we have 180+ users onboard across 5 contact centres driving 30k+ calls per month through the platform with a full suite of reporting to drive performance. We are using WFM, Observe.AI with speech analytics, Voice, Omni-channel (Email, Chat, Social Media, WhatsApp). We had 5 contact centres working across separate ACD's and with Talkdesk we no longer have an issue when you have onesolution bringing a wealth of data and flexibility.",8.0
8x8 X Series (Formerly Virtual Office),"8x8 Virtual Office is a unified business phone and VoIP communications service. It includes features such as instant messaging, softphone, video calling, web conferencing, call recording, visual voicemail. Prices range from $22-$175 per user per month, depending on amount of features desired.",https://www.trustradius.com/products/8x8-x-series/reviews,https://media.trustradius.com/product-logos/xw/9g/IL6NHDGJFGLS-180x180.PNG,138 ratings,193 reviews,"I have a total of four employees, including myself. As the business owner, 8x8 X Series (and the computer software 8x8 Work) has allowed me to have one employee work from home since the beginning of COVID-19 back in March. Unfortunately she was no longer able to work in the office because her kids had to stay home and do virtual learning. Having 8x8 Work allowed her to use a headset to make outgoing calls, receive incoming calls, listen to voicemails, send/receive text messages, and complete most of our communicative tasks from the comfort of her home.",7.6
Genesys Cloud,"Genesys Cloud (formerly PureCloud) is a contact center application optimized for automatic call distribution, interactive voice response, email, social media, chat, and text/SMS. It is also a VoIP interconnect service provider.",https://www.trustradius.com/products/genesys-cloud/reviews,https://media.trustradius.com/product-logos/Sc/O1/658UV9E5FKOT-180x180.PNG,109 ratings,139 reviews,Genesys Cloud (formerly PureCloud) is currently being used in two departments with two other departments and one main branch company in Australia piggybacking on our system during the lockdown in New Zealand. This was the main benefit of us moving to Genesys Cloud (formerly PureCloud)--great timing that we had this implemented before the pandemic hit New Zealand.,7.2
Skype for Business,"Skype for Business is part of Microsoft’s 365 suite offering and provides an IP PBX for online messaging and web conferencing. It includes features such as live streaming, dialing into conference calls, and the ability to make, receive, and transfer calls via computer or mobile device.",https://www.trustradius.com/products/skype-for-business/reviews,https://media.trustradius.com/product-logos/Oi/iS/FCFVWJ699QTI-180x180.PNG,"1,932 ratings",127 reviews,"Skype for Business is the most used tool in communication at my company. We used it for instant messages and calls, but now we are using it more frequently in our meetings that were previously held in person. Currently, we have most people working from home and this requires a higher level of structure to have stable communications, allowing the work to continue to happen in the right way. As I work with civil engineering within a chemical industry, there are many decisions that must be made both technical and safety, which require that many people are involved in monitoring the works.",7.8
NetFortris (formerly Fonality),"NetFortris provides business phone systems using Polycom and Yealink IP phones. They offer three subscription-based pricing plans, all including unlimited VoIP and desktop phone options. Advanced plans include other features such as video collaboration, softphone, and on-demand recording.",https://www.trustradius.com/products/netfortris/reviews,https://media.trustradius.com/vendor-logos/jl/H5/V8K3PGZTKTRQ-180x180.JPEG,51 ratings,107 reviews,It is used across the whole organization. It is great for creating different schedules based on different regions of clients. ,4.5
Fuze,"Fuze is a cloud-based unified communications platform that includes IP PBX voice service, video conferencing, and collaboration tools such as content sharing and instant messaging capabilities. It also integrates with a wide range of popular CTI, CRM, and click-to-call solutions.",https://www.trustradius.com/products/fuze/reviews,https://media.trustradius.com/product-logos/Vs/zU/41QQ840QO2WN-180x180.JPEG,70 ratings,90 reviews,"Fuze is used at multiple locations throughout our company, as well as other divisions owned by our parent company. We had a directive from our corporate office to utilize a single communications platform while allowing the flexibility to meet the many individual needs of multiple divisions around the globe. Our user-base, in particular, has high expectations for phone systems due to having been exposed to more advanced systems in the past. As a result, we wanted something that offered a large variety of features and capabilities.",7.3
Skype,"Skype (the personal edition) is a free web meeting, video conferencing, and VoIP software. The free version includes audio and video Skype-to-Skype calls, ability to call mobile phones and landlines, paid international calling, and conference calling capabilities for up to 25 people.",https://www.trustradius.com/products/skype/reviews,https://media.trustradius.com/product-logos/En/vl/F01LBWLMDIHG-180x180.JPEG,"1,846 ratings",88 reviews,"Our requirements for video conferencing platforms have increased exponentially during the pandemic. Skype has helped us to get back to work by connecting everyone in the organization--from the C-level to part-time interns--to work even during the lockdown. Skype is the ideal platform for us to conduct group meetings or have presentations. Even today, when we're back to our physical office, we still use Skype to connect with individuals working from home.",7.9
Cisco Jabber,"Cisco Jabber is a communication platform that is available as a browser-based and mobile app solution. It allows users to collaborate across channels such as instant messaging, voice, VoIP, and video telephony. Features include voice and video calling, call recording, and broadcast messaging.",https://www.trustradius.com/products/cisco-jabber/reviews,https://media.trustradius.com/product-logos/M3/wU/TET3E809JIJL-180x180.JPEG,183 ratings,78 reviews,"The organization is using Cisco Jabber all along LATAM as a collaboration and communication tool, which includes voice, messaging, voicemail, file transfer service and persistent chat messages, for all staff personal and for any device (laptops and mobile devices), including internet connectivity though the Expressway servers. We are not experiencing problems to mention.",8.2
Dialpad Talk,"Dialpad Talk is a cloud communications UCaaS platform that provides users with integrated voice, video, and messaging capabilities from one unified interface. It integrates with the vendor's web conferencing product, UberConference, as well as with G Suite, Microsoft Office 365, Salesforce, LinkedIn…",https://www.trustradius.com/products/dialpad-talk/reviews,https://media.trustradius.com/vendor-logos/3v/Lc/QVUZ1Q64BB09-180x180.JPEG,40 ratings,71 reviews,"Dialpad Talk helps all our departments communicate, not only via phone, but chat, and has a lot of features and apps that we can integrate. We use it on our desktop computers, laptops, tablets, smartphone, and more, and you can receive notifications on any and/or all devices, so we would never miss a call or a message. Beyond that, Dialpad Talk is such a nice app [that requires] less effort on customer's end.",7.6
